scene,energy_ex,energy_benji,energy_delta,turning_point
beach,-2013180.8571428834,-3987769.999999994,-0.9808304782211459,0
christmas,-1911057.9999999967,-1540460.2857142887,0.1939227978877191,0
movie,-3173613.9999999776,-4731079.714285707,-0.49075461423025624,10
night,-3206555.1428571567,-5271055.714285711,-0.6438375388701438,11
surf,-1731726.0000000026,-3426849.42857142,-0.9788635318586282,6
brunch,-1456010.0000000058,-2356415.14285714,-0.6184058782955684,0
picnic,-1962299.7142857378,-4002524.8571428536,-1.039711277540364,22
